2025-06-21 09:48:05 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 09:48:10 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 09:48:12 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 12:08:15 | INFO | app.main:log_requests:143 | PUT /api/v1/transactions/1
2025-06-21 12:08:15 | INFO | app.main:log_requests:145 | PUT /api/v1/transactions/1 - 200
2025-06-21 12:08:19 | INFO | app.main:log_requests:143 | PUT /api/v1/transactions/1
2025-06-21 12:08:19 | INFO | app.main:log_requests:145 | PUT /api/v1/transactions/1 - 200
2025-06-21 12:09:27 | INFO | app.main:log_requests:143 | PUT /api/v1/transactions/1
2025-06-21 12:09:27 | INFO | app.main:log_requests:145 | PUT /api/v1/transactions/1 - 200
2025-06-21 12:09:39 | INFO | app.main:log_requests:143 | GET /api/v1/transactions/1
2025-06-21 12:09:39 | INFO | app.main:log_requests:145 | GET /api/v1/transactions/1 - 200
2025-06-21 12:09:57 | INFO | app.main:log_requests:143 | GET /health
2025-06-21 12:09:57 | INFO | app.main:log_requests:145 | GET /health - 200
2025-06-21 12:10:05 | INFO | app.main:log_requests:143 | GET /
2025-06-21 12:10:05 | INFO | app.main:log_requests:145 | GET / - 200
2025-06-21 12:10:06 | INFO | app.main:log_requests:143 | GET /
2025-06-21 12:10:06 | INFO | app.main:log_requests:145 | GET / - 200
2025-06-21 12:10:09 | INFO | app.main:log_requests:143 | GET /
2025-06-21 12:10:09 | INFO | app.main:log_requests:145 | GET / - 200
